Name,Use
Alfalfa,Diuretic Anti-inflammatory Nutritive Phytoestrogen
Aloe,Laxative Emmenagogue Cholagogue  Choleretic Stomachic
Angelica,Carminative Stomachic Antimicrobial Antispasmodic
Anise,Carminative Flavoring agent Expectorant  Mild antispasmodic Lactagogue
Arnica,Stimulates circulation Antiphlogistic  Anti-inflammatory Bactericidal Mild analgesic activity Immune enhancing Anticoagulant Topical  counter-irritant
Ashwaganda,Sedative Hypotensive Anti-inflammatory Immunomodulating Adaptogenic Tonic
Astragalus,daptogenic Immunomodulating  Anti-tumor activity Promotes tissue regeneration  Anti-inflammatory Antiviral Protects kidney function Cardiotonic Diuretic Hypotensive Protects against WBC drops during chemotherapy Antioxidant  Hepatoprotective
Bayberry,Astringent Styptic Tonifier
Beth root,Alterative Astringent Genito-urinary tract  tonic Expectorant
Betony,Nervine Stomachic
Bilberry/Huckleberry,berries to a lesser degree the leaves used  for diabetes and hyperlipidemia. They are also used for circulatory  problems uding varicose veins rrhoids pheral vascular  insufficiency and easy bruising. The circulatory actions  are thought to be due to bilberry's ability to strengthen capillary  walls and reduce capillary leakage by supporting crosslinkage  of collagen and inhibiting collagenase and elastase.  It also enhances microcirculation by supporting capillary walls ibiting platelet aggregation and acting as an antioxidant
Black cohosh,Antispasmodic Sedative Diaphoretic Digestive  stimulant Mild expectorant Peripheral vasodilator  Hypotensive Female reproductive tract tonic Anti-inflammatory
Black walnut,Antiseptic Astringent Laxative Emetic  Antifungal Antihemorrhagic Vermifuge
Bladderwrack,Diuretic Mucilaginous Nutritional
Blessed thistle,sed thistle promotes secretion of saliva and gastric  juices. It is used as a bitter tonic for gastrointestinal colic  with gas and loose stools y of the gallbladder and lack  of appetite. It may also be used to stimulate lactation. The  constituents are bitter substances of the sesquiterpene lactone  type in lage and essential oil. The essential oil has  shown antiviral and antibacterial properties
Bloodroot,Antispasmodic Expectorant Topical antineoplastic  Stimulates digestion and the heart in small doses  Depresses digestion and the heart in larger doses Diaphoretic  Diuretic Choleretic Heart sedative
Bilberry/Huckleberry,berries to a lesser degree the leaves used  for diabetes and hyperlipidemia. They are also used for circulatory  problems uding varicose veins rrhoids pheral vascular  insufficiency and easy bruising. The circulatory actions  are thought to be due to bilberry's ability to strengthen capillary  walls and reduce capillary leakage by supporting crosslinkage  of collagen and inhibiting collagenase and elastase.  It also enhances microcirculation by supporting capillary walls ibiting platelet aggregation and acting as an antioxidant
Blue cohosh,Diuretic Diaphoretic Nervine Emmenagogue  Parturifacient Expectorant Female reproductive  tract tonic
Iris,Alterative for chronic septic conditions Lymphagogue  Cholagogue Diuretic
Boldo,Cholagogue Choleretic Anti-inflammatory  Hepatoprotective Mild diuretic Stomachic  Sedative
Boneset,Stimulating diaphoretic Cholagogue Choleretic  Antispasmodic Diuretic Emetic and laxative in large  doses
Buchu,Carminative Mild urinary tract anti-inflammatory  Stimulating and tonifying diuretic Urinary antiseptic  Removes uric acid Soothes the pelvic nerves
Buckthorn,Laxative Cholagogue
Bugleweed,Astringent Mild gastric tonic Sedative
Burdock,Alterative Antibacterial Antifungal Anti-inflammatory  Diuretic cially the seeds Digestive stimulant  Promotes blood and lymph circulation Liver tonic  Choleretic Antimutagenic Mild laxative
Butcher's broom,Anti-inflammatory Vasoconstrictor Antihemorrhagic
Butternut,Alterative Hepatic Vermifuge Laxative  Cathartic
Cactus,Diuretic Stimulating cardiac tonic Cardiac  trophorestorative Stimulating to the spinal and motor nerves
HCalendula,Antiseptic Anti-inflammatory Lymphagogue Choleretic Demulcent Vulnerary
California poppy,Sedative Antispasmodic Mild anodyne with  a reputation of being used as a milder substitute for its relative um poppy. It is often used for children with colic and agitation
Caraway,Antispasmodic Carminative Stomachic Lactagogue
Cardamom,Carminative
Cascara,Laxative Cholagogue
Catnip,Relaxing diaphoretic Antispasmodic Carminative  Emmenagogue Nervine Mild sedative
Cayenne,Antiseptic Topical vasodilator Neural stimulant  and depressant Stimulates circulation Stimulates appetite small doses Gargle for sore throats Diaphoretic for the first stages of a cold when the skin is hot and dry  External liniment in arthritis
Western Cedar,Antiviral Antifungal Antibacterial
Greater Celandine,Cholagogue Choleretic Hepatoprotective Antibacterial Weak analgesic Anti-inflammatory  Weak central nervous system sedative Antispasmodic Stimulates digestive enzymes Eases digestive  disturbances
Chamomile,Antispasmodic Anti-inflammatory Anti-allergenic Analgesic Antipyretic Antiseptic Antibacterial  against Strep. pyogenes(in vitro research) Antifungal  Carminative
Chaparral,Antibacterial Antifungal Anti-inflammatory  Antioxidant properties
Chaste tree berry,Female reproductive tract regulator. It is used for  PMS metriosis trual cramps enstrual herpes menstrual acne menorrhea ndary amenorrhea  opause with hot flashes
Chickweed,Nutritious Demulcent Diuretic
Cinnamon,Astringent Diaphoretic Aromatic Stimulant  Carminative Hemostatic Antiseptic Flavoring  Antibacterial Antifungal Gastrointestinal tonic  Anodyne
Cleavers,Relaxing diuretic Nutritious Vulnerary Hypotensive  Lymphagogue Supports the immune system Corrects inability  to pass normal catabolic wastes
Coltsfoot,Diffusive expectorant Sedative Antispasmodic  Demulcent Cardiovascular stimulant
Comfrey,rnally: (a) Contusions Sprains Dislocations  Wounds Burns Ulcers All inflammatory skin  disorders
Corn silk,Soothing Toning Demulcent Diuretic  Antimicrobial Vulnerary Antiseptic
Cramp bark,Antispasmodic Astringent Nervine Cerebrospinal  vasostimulant Hypotensive  2 receptor agonist  Carminative Restores sympathetic and parasympathetic balance  in voluntary and involuntary muscle spasms (g) Anti-inflamatory
Culver's root,Cholagogue Mild laxative Cathartic Antiseptic  Relaxing hepatic
Damiana,Aphrodisiac Stimulating nervine or spinal trophorestorative
Dandelion,Diuretic e plant cially the leaf  Stomachic Mild laxative Cholagogue Choleretic Anti-platelet aggregating action
Devil's Claw,Anti-inflammatory Analgesic Anti-arthritic  Bitter tonic
Devil's Club,Adaptogen Immunomodulator
Dong quai,Warming female tonic Enriches the blood Promotes  blood circulation Regulates and normalizes menstruation  and the menstrual cycle Mild laxative Diuretic  Sedative Hepatoprotectant Anti-inflammatory Analgesic Antibacterial Hypotensive Calcium channel blocker  Antispasmodic Stimulate the uterus if the volatile oil  is decocted off and an antispasmodic if made as a proper infusion  with the volatile oil intact or as a liquid extract
Echinacea,Antimicrobial Anti-inflammatory Antiviral Antibacterial Antifungal Slight stimulation  of the adrenal cortex Stimulates leukocytes Inhibits  hyaluronidase Enhances phagocytosis
Elder flowers,Expectorant Relaxing diaphoretic Diuretic  Alterative Soothing nervine Mild laxative
Eyebright,Astringent Expectorant Anti-inflammatory  Antiseptic Decongestant
False unicorn,Diuretic Reproductive tonic for both sexes  Cerebrospinal trophorestorative
